,Master Datset,,,,,,,,,,,,,,,
,292,0.893069307,0.073915192,0.0001,0.642962963,,,,,,,,,,,
,293,0.895049505,0.069141894,0.0001,0.642962963,,,,,,,,,,,
,294,0.897029703,0.11209056,0.0001,0.642962963,,,,,,,,,,,
,295,0.900990099,0.064547712,0.0001,0.642962963,,,,,,,,,,,
,296,0.904950495,0.111444409,0.0001,0.642962963,,,,,,,,,,,
,297,0.906930693,0.105346714,0.0001,0.642962963,,,,,,,,,,,
,298,0.908910891,0.092412011,0.0001,0.642962963,,,,,,,,,,,
,299,0.910891089,0.065360466,0.0001,0.642962963,,,,,,,,,,,
,300,0.912871287,0.050141457,0.0001,0.642962963,,,,,,,,,,,
,301,0.914851485,0.090422967,0.0001,0.642962963,,,,,,,,,,,
,302,0.916831683,0.079083443,0.0001,0.642962963,,,,,,,,,,,
,303,0.918811881,0.106531164,0.0001,0.642962963,,,,,,,,,,,
,304,0.920792079,0.042939961,0.0001,0.642962963,,,,,,,,,,,
,305,0.922772277,0.051254913,0.0001,0.642962963,,,,,,,,,,,
,306,0.924752475,0.060058389,0.0001,0.642962963,,,,,,,,,,,
,307,0.926732673,0.211748267,0.0001,0.642962963,,,,,,,,,,,
,308,0.928712871,0.177739352,0.0001,0.642962963,,,,,,,,,,,
,309,0.932673267,0.054837641,0.0001,0.642962963,,,,,,,,,,,
,310,0.934653465,0.048449171,0.0001,0.642962963,,,,,,,,,,,
,311,0.938613861,0.109475221,0.0001,0.642962963,,,,,,,,,,,
,312,0.942574257,0.066166692,0.0001,0.642962963,,,,,,,,,,,
,313,0.944554455,0.20423682,0.0001,0.642962963,,,,,,,,,,,
,314,0.946534653,0.139085935,0.0001,0.642962963,,,,,,,,,,,
,315,0.948514851,0.194856692,0.0001,0.642962963,,,,,,,,,,,
,316,0.95049505,0.07912234,0.0001,0.642962963,,,,,,,,,,,
,317,0.952475248,0.077547017,0.0001,0.642962963,,,,,,,,,,,
,318,0.956435644,0.038244865,0.0001,0.642962963,,,,,,,,,,,
,319,0.958415842,0.032263316,0.0001,0.642962963,,,,,,,,,,,
,320,0.962376238,0.077323564,0.0001,0.642962963,,,,,,,,,,,
,321,0.964356436,0.065680618,0.0001,0.642962963,,,,,,,,,,,
,322,0.966336634,0.001965788,0.0001,1,,,,,,,,,,,
,323,0.97029703,0.002735565,0.0001,1,,,,,,,,,,,
,324,0.972277228,0.001352142,0.0001,1,,,,,,,,,,,
,325,0.974257426,0.001428032,0.0001,1,,,,,,,,,,,
,326,0.976237624,0.002271114,0.0001,0.331481481,,,,,,,,,,,
,327,0.984158416,0.003564095,0.0001,0.331481481,,,,,,,,,,,
,328,0.988118812,0.002332588,0.0001,0.331481481,,,,,,,,,,,
,329,0.992079208,0.000765833,0.0001,0.414444444,,,,,,,,,,,
,330,0.994059406,0.000529732,0.0001,0.414444444,,,,,,,,,,,
,331,0.996039604,0.0007404,0.0001,0.414444444,,,,,,,,,,,
,332,1,0.000558836,0.0001,0.414444444,,,,,,,,,,,
